unique_id,long,lat,year,source,crop,treatment,n_kgpha,p_kgpha,k_kgpha,grain_yield_kgpha
14983_38.225359_10.316468,38.225359,10.316468,2003,P_calibration NSRC,Teff,NPK,92,10.04366812,49.58677686,1500
15594_38.234818_14.120581,38.234818,14.120581,2003,P_calibration NSRC,Teff,NP,46,40.17467249,0,1500
15730_38.240061_14.132117,38.240061,14.132117,2003,P_calibration NSRC,Teff,P,0,40.17467249,0,1500
15762_38.250477_14.128815,38.250477,14.128815,2003,P_calibration NSRC,Teff,NP,138,10.04366812,0,1500
15915_37.665135_8.285338,37.665135,8.285338,1996,P_calibration NSRC,Teff,NP,138,10.04366812,0,1500
15967_37.640355_8.303225,37.640355,8.303225,1996,P_calibration NSRC,Teff,P,0,40.17467249,0,1500
16613_36.946246_11.371306,36.946246,11.371306,2007,P_calibration NSRC,Teff,NP,92,20.08733624,0,1500
16660_36.918134_11.357764,36.918134,11.357764,2007,P_calibration NSRC,Teff,NPK,138,40.17467249,49.58677686,1500
16743_36.869468_11.585774,36.869468,11.585774,2007,P_calibration NSRC,Teff,NP,46,40.17467249,0,1500
16764_36.956912_11.538747,36.956912,11.538747,2007,P_calibration NSRC,Teff,NP,46,10.04366812,0,1500
19734_37.359488_10.707723,37.359488,10.707723,2011,Cascape,Teff,NPKS,64,20.09,21,1500
20322_37.735524_8.071519,37.735524,8.071519,2011,Cascape,Teff,NPK,64,20,22,1500
20331_37.735524_8.071519,37.735524,8.071519,2011,Cascape,Teff,NPKSCa,64,20,22,1500
20885_36.751717_12.182306,36.751717,12.182306,2016,SG 2000,Teff,NPKS,42,16.59,50,1500
20904_37.118856_12.264144,37.118856,12.264144,2016,SG 2000,Teff,NPKS,65,16.59,50,1500
21864_38.15998_7.826567,38.15998,7.826567,2016,SG 2000,Teff,NPKS,65,16.59,50,1500
22271_38.641888_14.115119,38.641888,14.115119,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22274_38.655061_14.124851,38.655061,14.124851,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22277_38.756884_14.155753,38.756884,14.155753,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22320_38.461309_14.100087,38.461309,14.100087,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22321_38.454081_14.099113,38.454081,14.099113,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22327_38.954165_13.601198,38.954165,13.601198,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22403_38.338264_14.060355,38.338264,14.060355,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22415_38.641888_14.115119,38.641888,14.115119,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22418_38.655061_14.124851,38.655061,14.124851,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22421_38.756884_14.155753,38.756884,14.155753,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22464_38.461309_14.100087,38.461309,14.100087,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22465_38.454081_14.099113,38.454081,14.099113,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22471_38.954165_13.601198,38.954165,13.601198,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22547_38.338264_14.060355,38.338264,14.060355,2016,SG 2000,Teff,NPKSZnB,63.8,15.59,50,1500
22557_38.798474_14.136402,38.798474,14.136402,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22566_38.877041_14.157025,38.877041,14.157025,2016,SG 2000,Teff,NPKSB,64.9,16.46,50,1500
22884_39.685405_9.492888,39.685405,9.492888,2017,SG 2000,Teff,NPS,65,16.59,0,1500
22912_36.938324_12.226611,36.938324,12.226611,2017,SG 2000,Teff,NPS,69.6,16.59,0,1500
24132_38.495508_8.192126,38.495508,8.192126,2017,SG 2000,Teff,NPS,65,16.59,0,1500
24135_38.472521_8.247179,38.472521,8.247179,2017,SG 2000,Teff,NPS,65,16.59,0,1500
24141_38.47349_8.240599,38.47349,8.240599,2017,SG 2000,Teff,NPS,65,16.59,0,1500
27769_38.2_7.8,38.2,7.8,2014,EIAR_NPKS_Trial,Teff,NPKSZnB,92,50.21834061,66.16,1500
27822_38.2_7.8,38.2,7.8,2014,EIAR_NPKS_Trial,Teff,NPKSZnB,92,30.13,29.75206612,1500
27831_38.2_7.8,38.2,7.8,2014,EIAR_NPKS_Trial,Teff,NPKSZnB,92,30.13,29.75206612,1500
27905_38.2_7.8,38.2,7.8,2014,EIAR_NPKS_Trial,Teff,NPKSZnB,92,30.13,66.1157,1500
28884_38.905523_8.65667,38.905523,8.65667,2015,OARI_NPKS_Trial,Teff,NPKSZnB,92,20.08733624,74.38,1500
1183_34,37.9345,7.628217,2020,SARI,Teff,NP,60,16.6,0,1500
EIAR_135_1184,37.96616,10.23908,2021,EIAR,Teff,NPKSZnB,92,30.1,49.8,1500
EIAR_137_1252,38.01805,10.18139,2021,EIAR,Teff,NPKZnB,92,30.1,49.8,1500
EIAR_140_1339,38.03114,10.20971,2021,EIAR,Teff,NPKSB,92,30.1,49.8,1500
EIAR_142_1410,38.06449,10.23919,2021,EIAR,Teff,NKSZnB,92,0,49.8,1500
EIAR_159_1885,38.938,8.803,2021,EIAR,Teff,NKSZnB,92,0,49.8,1500
EIAR_162_1989,39.035,8.653,2021,EIAR,Teff,NPS,92,30.1,0,1500
EIAR_167_2122,39.013,8.694,2021,EIAR,Teff,NPSZnB,92,30.1,0,1500
EIAR_175_2373,37.99433,8.97516,2021,EIAR,Teff,NP,92,30.1,0,1500
EIAR_199_3081,38.959,8.317,2021,EIAR,Teff,NPSZnB,92,30.1,0,1500
EIAR_203_3213,38.915,8.266,2021,EIAR,Teff,NP,92,30.1,0,1500
EIAR_207_3316,38.957,8.321,2021,EIAR,Teff,NPKSB,92,30.1,49.8,1500
EIAR_207_3331,38.957,8.321,2021,EIAR,Teff,NP,92,30.1,0,1500
EIAR_209_3380,38.959,8.327,2021,EIAR,Teff,NPKZnB,92,30.1,49.8,1500
OARI_109_3526,39.18457,8.69283,2021,OARI,Teff,NPKSZn,69,20.1,49.8,1500
OARI_122_3877,40.40115,8.52332,2021,OARI,Teff,NPKSB,69,20.1,49.8,1500
OARI_95_4182,36.10903,8.50592,2021,OARI,Teff,NP,69,30.1,0,1500
SARI_46_4341,37.728,8.264,2021,SARI,Teff,NP,92,30.1,0,1500
SARI_48_4386,37.715,8.273,2021,SARI,Teff,NPKSB,92,30.1,49.8,1500
SARI_48_4407,37.715,8.273,2021,SARI,Teff,NPS,92,30.1,0,1500
SARI_48_4393,37.715,8.273,2021,SARI,Teff,NPSZnB,92,30.1,0,1500
SARI_49_4436,37.655,8.263,2021,SARI,Teff,Control,0,0,0,1500
SARI_49_4426,37.655,8.263,2021,SARI,Teff,NKSZnB,92,0,49.8,1500
SARI_49_4439,37.657,8.301,2021,SARI,Teff,NPS,92,30.1,0,1500
SARI_50_4452,37.657,8.301,2021,SARI,Teff,NPSZnB,92,30.1,0,1500
SARI_50_4467,37.657,8.301,2021,SARI,Teff,NPS,92,30.1,0,1500
SARI_50_4447,37.657,8.301,2021,SARI,Teff,NPKSB,92,30.1,49.8,1500
